doy,theta_start_deg,theta_end_deg,theta_start_raw_deg,theta_end_raw_deg,n_samples_start,n_samples_end,n_years
93,-1.55014883109425,-0.9271383978037692,-1.8222355387296352,-0.7972717791100621,100,96,5
94,-1.546633307598781,-0.9307826278504873,-1.8222355387296352,-0.8142991003780866,100,96,5
95,-1.5428799883022823,-0.9342175446679621,-1.8222355387296352,-0.8142991003780866,100,96,5
96,-1.5388942665623726,-0.9374426351692413,-1.8222355387296352,-0.8142417063897086,100,97,5
97,-1.534681811189585,-0.9404575675136987,-1.8222355387296352,-0.8165604678414906,100,100,5
98,-1.530248559479286,-0.9432621904756562,-1.7428755345893818,-0.8242054800573728,100,97,5
99,-1.5256007099267639,-0.9458565326198849,-1.7428755345893818,-0.8191088052467846,100,99,5
100,-1.520744714634153,-0.9482408012852537,-1.7428755345893818,-0.8470840476236192,100,100,5
101,-1.5156872714182343,-0.9504153813780126,-1.7428755345893818,-0.8489677140360886,100,98,5
102,-1.5104353156284924,-0.9523808339764159,-1.7428755345893818,-0.8480258808298539,100,99,5
103,-1.5049960116851644,-0.9541378947486095,-1.8229398856723162,-0.8470840476236192,100,100,5
104,-1.499376744347336,-0.9556874721859164,-1.7428755345893818,-0.8659768111088011,100,100,5
105,-1.4935851097214639,-0.9570306456538694,-1.7428755345893818,-0.8480258808298539,100,99,5
106,-1.4876289060210048,-0.9581686632635462,-1.640276178172475,-0.8659768111088011,100,100,5
107,-1.4815161240881314,-0.9591029395659693,-1.6301134042172862,-0.8659768111088011,100,100,5
108,-1.4752549376887867,-0.9598350530725335,-1.6301134042172862,-0.8856945562572487,100,100,5
109,-1.4688536935926084,-0.9603667436046246,-1.3049265474724931,-0.8856945562572487,100,100,5
110,-1.462320901449491,-0.9606999094757822,-1.3026525159343985,-1.0525755201904854,100,100,5
111,-1.4556652234748098,-0.96083660450996,-1.22299367204305,-1.0525755201904854,100,100,5
112,-1.4488954639555456,-0.9607790348996121,-1.22299367204305,-1.0525755201904854,100,100,5
113,-1.4420205585897645,-0.9605295559075258,-1.22299367204305,-1.0525755201904854,100,100,5
114,-1.435049563672099,-0.9600906684164896,-1.3026525159343985,-1.0525755201904854,100,100,5
115,-1.4279916451380656,-0.9594650153310663,-1.2235563716956417,-1.0525755201904854,100,100,5
116,-1.4208560674802118,-0.9586553778359015,-1.2180315148429417,-1.0525755201904854,100,100,5
117,-1.4136521825492414,-0.9576646715151635,-1.2180315148429417,-1.0525755201904854,100,100,5
118,-1.406389418253399,-0.9564959423378668,-1.2180315148429417,-1.0260396936286897,100,100,5
119,-1.3990772671695184,-0.9551523625139797,-1.2180315148429417,-1.0525755201904854,100,100,5
120,-1.3917252750792384,-0.9536372262263664,-1.2180315148429417,-1.0525755201904854,100,100,5
121,-1.3843430294439814,-0.9519539452437488,-1.2180315148429417,-1.0525755201904854,100,100,5
122,-1.3769401478323577,-0.9501060444200072,-1.2180315148429417,-1.0525755201904854,100,100,5
123,-1.3695262663137224,-0.948097157085268,-1.2082291883327347,-1.0525755201904854,100,100,5
124,-1.3621110278316335,-0.9459310203343425,-1.2082291883327347,-1.0260396936286897,100,100,5
125,-1.3547040705710116,-0.9436114702181997,-1.2082291883327347,-1.0260396936286897,100,100,5
126,-1.3473150163327747,-0.9411424368442572,-1.2180315148429417,-1.0260396936286897,100,100,5
127,-1.339953458929742,-0.9385279393913789,-1.2082712516085332,-1.0260396936286897,100,100,5
128,-1.332628952617555,-0.9357720810455589,-1.2082712516085332,-0.8568242755690947,100,100,5
129,-1.325351000574332,-0.9328790438623562,-1.2422019505002169,-1.0307517251310288,100,100,5
130,-1.3181290434427138,-0.9298530835622277,-1.2422019505002169,-0.794607726252393,100,100,5
131,-1.3109724479478735,-0.926698524264971,-1.2422019505002169,-0.8568242755690947,100,100,5
132,-1.3038904956049961,-0.9234197531695617,-1.238768967840583,-1.025217437751943,101,101,6
133,-1.2968923715295964,-0.9200212151857194,-1.2526053099993482,-1.0717576817287626,102,102,6
134,-1.2899871533639513,-0.9165074075235887,-1.2062728156056117,-1.0515825991844197,103,103,6
135,-1.2831838003327651,-0.9128828742479624,-1.2055514782745347,-1.0242742399769174,104,104,6
