capacity_kwh,power_kw,grid_import_kwh_yr,pv_export_kwh_yr,night_grid_import_kwh_yr,nonev_night_grid_import_kwh_yr,night_self_sufficiency_pct,nonev_night_self_sufficiency_pct,cycles_per_yr,marginal_kwh_per_kwh,nonev_marginal_kwh_per_kwh
2.5,3.0,2748.8467097335715,3443.3751001956507,1929.583865875394,1614.2753113697731,11.580246924382553,13.385671476627714,269.5096671628395,187.82649141060483,134.02594331843648
3.0,3.0,2662.2178968076096,3347.120863611238,1862.2297206180772,1547.7034754816398,14.666630987595807,16.957599278166146,256.67613483047984,173.25762585192388,133.14367177626673
3.5,3.0,2582.1496585914733,3258.1561544822243,1795.5583459211498,1481.8646431376721,17.721728302705174,20.49019759895493,245.4266038915826,160.1364764322725,131.67766468793525
4.0,3.0,2508.8996104886724,3176.7672121457954,1733.4710297667702,1420.5372831205943,20.566769277903983,23.7807317913431,235.09551398923443,146.50009620560195,122.65472003415562
4.5,3.0,2443.063054104539,3103.6154828300096,1676.964762185088,1364.7909716762,23.156068616044166,26.77181348565082,225.2297300606003,131.67311276826695,111.4926228887889
5.0,3.0,2383.928507025623,3037.910430520133,1626.2157512395374,1314.8019168679639,25.481551895622523,29.453988196022518,215.8477675165159,118.26909415783211,99.97810961647201
5.5,3.0,2331.3852333912637,2979.529015370832,1581.547490322835,1270.893612088564,27.528395606548905,31.80989880698283,206.84004595124466,105.08654726871828,87.81660955879988
6.0,3.0,2284.0873336693703,2926.975793457639,1542.1056763041986,1232.1264934620574,29.33574667226696,33.889957843363405,198.3622457741818,94.59579944378675,77.53423725301309
6.5,3.0,2242.517415707096,2880.7869957217854,1509.1341407441012,1199.762922811802,30.846608720973588,35.62643297913935,190.20958036629827,83.1398359245486,64.727141300511
7.0,3.0,2207.917760421224,2842.342934293013,1483.178481617748,1174.447967116061,32.03598069461717,36.9847129910693,182.1151905442436,69.19931057174381,50.62991139148198
7.5,3.0,2179.0498009436947,2810.2674237624233,1461.8137279355763,1153.7816152119647,33.01498258124522,38.09357105300801,174.25091257870451,57.73591895505888,41.33270380819249
8.0,3.0,2154.2059002776687,2782.6630896890883,1444.2577776626933,1136.9856210763835,33.81945281733515,38.99476414175162,166.8107723017045,49.687801332052004,33.591988271162336
8.5,3.0,2132.6736182394666,2758.738331868849,1429.9362288787563,1123.4240284297487,34.47571235055924,39.7224146438206,159.81305132163217,43.06456407640417,27.12318529326967
9.0,3.0,2114.4767243383467,2738.5195608676077,1418.0354068137108,1112.2831625020044,35.02104638190014,40.32018047391415,153.18107858167906,36.393787802239785,22.281731855488488
9.5,3.0,2098.3647794015646,2720.6173998267277,1408.863273381512,1103.8709852071088,35.4413431036929,40.77153786176807,147.0033545553678,32.223889873564076,16.824354589791255
10.0,3.0,2084.807951631164,2705.5542578596296,1401.3278381194386,1097.0652526178237,35.78664103915609,41.136701074126414,141.15950102430992,27.11365554080112,13.611465178570143
10.5,3.0,2072.8485033125303,2692.2659819500336,1394.4940815501586,1090.9414657291525,36.099785794935066,41.465274326561556,135.7031701097801,23.918896637267608,12.247573777342495
11.0,3.0,2062.2082103437738,2680.443434206964,1388.3997524869555,1085.4118330207614,36.37904759871549,41.761968094127,130.60962126325083,21.280585937513024,11.059265416782182
11.5,3.0,2052.9292656037114,2670.1334956068977,1383.0019106587756,1080.6292434334146,36.6263941121423,42.018579084082255,125.82745847789799,18.557889480124686,9.56517917469364
12.0,3.0,2044.4463251486238,2660.7080062123514,1377.8284897172912,1076.1397830155024,36.86345693708191,42.25946215823381,121.37010515753123,16.9658809101752,8.978920835824283
12.5,3.0,2036.3387099007075,2651.699544825786,1373.0224223750508,1072.0795694541935,37.08368643587744,42.47731388947032,117.2359778621556,16.215230495832657,8.120427122617912
13.0,3.0,2028.6253566452388,2643.1291523197083,1368.6051440507597,1068.4222472672045,37.28610036854312,42.67354838750701,113.38616275254033,15.426706510937493,7.314644373977899
13.5,3.0,2021.5696362590718,2635.2894630017404,1364.5042285338661,1065.081287887613,37.47401753752463,42.85280836332963,109.76739297044385,14.111440772333935,6.681918759183191
14.0,3.0,2015.1649434488445,2628.1731376570406,1361.1326241346537,1062.3955305942525,37.628515320035774,42.996913314265015,106.35543788897775,12.809385620454577,5.371514586720878
14.5,3.0,2009.3706966558452,2621.7350856648254,1358.2183088132424,1060.1420487126245,37.76205864285308,43.11782442443444,103.13201258192503,11.588493585998549,4.506963763255953
15.0,3.0,2003.999941839796,2615.7675803136635,1355.4014645873283,1057.9331693965514,37.891135525860086,43.23634237326467,100.09211251927177,10.741509632098314,4.41775863214616
15.5,3.0,1998.9449992344769,2610.150977418862,1352.4845282125557,1055.6241979316212,38.02479895379183,43.36023079031843,97.22569617315348,10.109885210638367,4.617942929860419
16.0,3.0,1994.2551890373175,2604.9400771998003,1349.3736779360222,1053.0978432572322,38.16734814181664,43.495782955548776,94.51307443143399,9.379620394318863,5.05270934877808
16.5,3.0,1989.9585707437816,2600.1660568736515,1346.6343330440234,1050.8426150035277,38.29287375551138,43.6167877677303,91.93837643812681,8.593236587071715,4.51045650740889
17.0,3.0,1985.901866462152,2595.658607671842,1344.2007435214286,1048.8649991633145,38.40438867252569,43.72289721936523,89.4994506135826,8.113408563259327,3.95523168042655
