capacity_kwh,power_kw,bound,grid_import_kwh_yr,pv_export_kwh_yr,night_grid_import_kwh_yr,nonev_night_grid_import_kwh_yr,night_self_sufficiency_pct,nonev_night_self_sufficiency_pct,cycles_per_yr,marginal_kwh_per_kwh,nonev_marginal_kwh_per_kwh
27.0,2.5,charge_first,2832.6519458680987,2197.0096239617324,1758.6601888089922,1233.758976940381,34.61197631004729,42.081642130399096,63.80621240752695,2.9973128538513265,1.431131305980216
27.5,2.5,charge_first,2831.2253672248885,2195.424536580386,1757.7346477193946,1233.1132628307928,34.64638847396488,42.11195493993449,62.70070533574267,2.8531572864203554,1.291428219176396
28.0,2.5,charge_first,2829.921714502168,2193.9760335551405,1756.735096229997,1232.3393415643795,34.68355238822413,42.148286386926024,61.63005938417286,2.607305445440943,1.5478425328265075
28.5,2.5,charge_first,2828.7064993645968,2192.6257945133957,1755.801854507326,1231.608635697971,34.7182508662239,42.18258910298246,60.59371356441623,2.4304302751424984,1.4614117328169414
29.0,2.5,charge_first,2827.4912842270273,2191.2755554716523,1754.9241991301924,1230.933516177099,34.75088261109241,42.21428233865122,59.59310380740976,2.4304302751388605,1.3502390417443166
29.5,2.5,charge_first,2826.2976204126703,2189.9492623445885,1754.0465437530584,1230.258396656226,34.783514355960946,42.24597557432001,58.625644021712624,2.387327628714047,1.3502390417456809
30.0,2.5,charge_first,2825.1499172271856,2188.6740365829405,1753.2299355687103,1229.6443243281394,34.8138763301748,42.27480297215111,57.688820241893985,2.295406370969431,1.2281446561732992
0.0,3.0,charge_first,4469.281294121165,4016.469487743705,2689.575383326995,2130.169124818943,0.0,0.0,,,
0.5,3.0,charge_first,4185.797718473144,3701.487737022962,2673.7047498305787,2114.592959046954,0.5900795194215491,0.7312173287326806,596.8075276802089,566.9671512960413,31.152331543978107
1.0,3.0,charge_first,4060.471479601157,3562.236360498618,2637.4681351302092,2079.1904214265255,1.937378238951959,2.3931763350832913,430.3261205475054,250.6524777439745,70.80507524085715
1.5,3.0,charge_first,3948.3502284913125,3437.6571925989915,2588.694137958399,2031.1358338411173,3.7508242376834366,4.64908113745397,365.5656600911259,224.2425022196894,96.10917517081634
2.0,3.0,charge_first,3844.8811023709172,3322.6914969096465,2530.0296523838733,1973.3072410531972,5.932004432081195,7.363822991241542,328.6316798685937,206.93825224079046,115.65718557584023
2.5,3.0,charge_first,3749.1855837561857,3216.36314289332,2465.2072356855797,1909.5966452009247,8.342140139752207,10.354693298672546,303.19819383792947,191.3910372294631,127.42119170454498
3.0,3.0,charge_first,3659.8066816414876,3117.053251654974,2397.5754994923673,1843.0172534188312,10.856728004158978,13.480238167686288,284.02617981739826,178.75780422939624,133.15878356418716
3.5,3.0,charge_first,3575.470101520789,3023.299101786956,2328.2287055205247,1774.6968836778512,13.435082728913372,16.68751260167223,268.8153962707791,168.67316024139745,136.64073948195983
4.0,3.0,charge_first,3496.414424096618,2935.3844469244164,2260.758883258703,1708.2603042124465,15.943650537797826,19.806353199413586,256.01759737488203,158.11135484834176,132.8731589308095
4.5,3.0,charge_first,3423.556298029666,2854.3559602366518,2197.4415267073796,1645.9632109258484,18.297827220996055,22.730867152825283,244.61403417343584,145.71625213390416,124.59418657319611
5.0,3.0,charge_first,3356.9128552536586,2780.2326772054475,2139.8708547959245,1589.4094331782267,20.43833877788873,25.385763287066677,234.18282923526013,133.2868855520146,113.10755549524356
5.5,3.0,charge_first,3297.356069986116,2713.983458072484,2088.515475839516,1539.0304032662539,22.34776207476923,27.750788172884356,224.2919089253687,119.11357053508527,100.75805982394559
6.0,3.0,charge_first,3243.814002667255,2654.4172588825177,2043.562896857898,1494.95547966177,24.019125489986525,29.819869124765585,214.99426165858446,107.08413463772195,88.14984720896791
6.5,3.0,charge_first,3197.0026354577553,2602.3296153696497,2005.5494090150166,1457.8196471959993,25.4324894015739,31.563197015170864,206.03702974307097,93.62273441899924,74.27166493154118
7.0,3.0,charge_first,3156.076598932717,2556.7812281728948,1972.5986630961931,1425.8092922936728,26.657617580657078,33.06591126116047,197.474390253901,81.8520730500768,64.02070980465305
7.5,3.0,charge_first,3119.2456157544502,2515.7829002502863,1944.6042391257313,1398.7600356524115,27.69846678473601,34.335728588156066,189.47869170059437,73.66196635653341,54.09851328252262
8.0,3.0,charge_first,3086.9749828647678,2479.8516282038627,1922.198410056719,1377.2998223295242,28.531528732280176,35.34317034819525,181.88240937584476,64.54126577936495,42.92042664577457
8.5,3.0,charge_first,3059.0919050014513,2448.7954172978893,1903.9737614192757,1360.0878529733882,29.209131923862774,36.151179869861714,174.63645685692896,55.76615572663286,34.42393871227205
9.0,3.0,charge_first,3034.9791247621656,2421.9284259741394,1888.6340767333543,1345.8167299151758,29.779470453171662,36.8211324521209,167.75463969111166,48.225560478571424,28.54224611642485
9.5,3.0,charge_first,3013.908906756721,2398.442059354695,1875.6489453847926,1333.7831718108196,30.262265299862257,37.38604337699307,161.2600983229277,42.14043601088906,24.067116208712378
10.0,3.0,charge_first,2995.6117127367893,2378.0368304968824,1864.4827028738869,1323.562096629131,30.677432786154945,37.865867962872244,155.12311382993286,36.59438803986359,20.442150363377095
10.5,3.0,charge_first,2979.6647465349934,2360.2822709467096,1854.8976030717977,1314.892332886583,31.033812453425426,38.27286680824725,149.3349922392151,31.89393240359186,17.339527485095914
11.0,3.0,charge_first,2965.378159509179,2344.408285362463,1846.6074328238908,1307.4719165120184,31.342045875671133,38.621215504513096,143.9141755609557,28.573174051628484,14.840832749129277
11.5,3.0,charge_first,2952.378878131959,2329.9646393877742,1838.9118247946535,1300.5864519078277,31.628173123746905,38.944451088203024,138.84690306537448,25.998562754440172,13.770929208381403
12.0,3.0,charge_first,2940.297416730688,2316.540793386359,1832.2264737928406,1294.7112443310598,31.876738419341766,39.22026053020059,134.12139275355167,24.162922802542198,11.750415153535869
12.5,3.0,charge_first,2929.3665366791947,2304.395371106946,1826.3656788559151,1289.619300684582,32.09464623383387,39.45929993731391,129.67703220563962,21.86176010298641,10.18388729295566
13.0,3.0,charge_first,2919.627202500774,2293.573888686475,1821.2762482168478,1285.2101412049371,32.283874268512406,39.66628629479477,125.47806409881757,19.47866835684181,8.818318959289627
13.5,3.0,charge_first,2910.8359493614626,2283.8058296427926,1816.3965358967557,1280.9748560685666,32.46530485232656,39.865110185678574,121.51620621908062,17.58250627862253,8.470570272741043
14.0,3.0,charge_first,2902.4859162229486,2274.5280150444537,1812.1394314104066,1277.3510512266712,32.6235865094513,40.03522836078843,117.80416375174516,16.700066277027872,7.24760968379087
14.5,3.0,charge_first,2894.9347955283556,2266.1378809393495,1808.2240079953306,1274.0618896171407,32.76916426270367,40.18963683339316,114.29012693958691,15.10224138918602,6.578323219061076
15.0,3.0,charge_first,2888.274348625851,2258.737384381024,1804.42257585106,1270.8680650416572,32.910503753235744,40.339569744272005,110.94785582423219,13.320893805009291,6.3876491509668085
15.5,3.0,charge_first,2882.1789364654646,2251.964704202813,1800.5631187826452,1267.660166567577,33.054000644690795,40.49016334910386,107.78284262517464,12.190824320772663,6.415796948160278
16.0,3.0,charge_first,2876.297510415845,2245.429786369901,1796.810066105536,1264.5822334113398,33.19354135808277,40.6346557802623,104.80156471745528,11.762852099239353,6.1558663124747
16.5,3.0,charge_first,2870.634923218554,2239.1380228173516,1793.2395129919153,1261.6867998185908,33.32629663000246,40.770580837057736,101.98700930798165,11.325174394582064,5.790867185497973
17.0,3.0,charge_first,2865.1328726499296,2233.0246332966576,1789.7867919655966,1258.8901361011567,33.45467083537786,40.90186917866636,99.3280756328941,11.004101137248654,5.593327434868115
17.5,3.0,charge_first,2859.961162794503,2227.2782890128465,1786.4679336192562,1256.1788853236005,33.578067947312874,41.029147841471456,96.80121090686718,10.343419710853595,5.422501555112376
18.0,3.0,charge_first,2855.223479048556,2222.014195961806,1783.3782132464794,1253.638347931955,33.692945574165435,41.14841242765127,94.38934591067897,9.475367491893849,5.081074783291115
